Pattern,Noise Level,Success Rate,Avg Step Fail,Std Dev
block,1.0e-07,100.0,0.00,0.00
block,5.0e-07,100.0,0.00,0.00
block,1.0e-06,100.0,0.00,0.00
block,5.0e-06,93.0,215.43,151.44
block,1.0e-05,89.0,228.18,155.22
block,5.0e-05,37.0,203.24,137.71
block,1.0e-04,16.0,168.62,133.84
pulsar,1.0e-07,99.0,268.00,0.00
pulsar,5.0e-07,93.0,227.43,124.07
pulsar,1.0e-06,89.0,254.91,132.58
pulsar,5.0e-06,49.0,252.37,129.74
pulsar,1.0e-05,36.0,202.67,135.11
pulsar,5.0e-05,0.0,93.62,89.39
pulsar,1.0e-04,0.0,50.67,40.62
glider,1.0e-07,100.0,0.00,0.00
glider,5.0e-07,100.0,0.00,0.00
glider,1.0e-06,97.0,275.00,140.25
glider,5.0e-06,88.0,239.67,137.64
glider,1.0e-05,86.0,281.00,148.03
glider,5.0e-05,36.0,228.95,129.64
glider,1.0e-04,29.0,201.92,134.72
gosper_glider_gun,1.0e-07,99.0,463.00,0.00
gosper_glider_gun,5.0e-07,88.0,263.08,138.00
gosper_glider_gun,1.0e-06,87.0,283.85,102.29
gosper_glider_gun,5.0e-06,36.0,214.34,128.38
gosper_glider_gun,1.0e-05,29.0,235.61,132.12
gosper_glider_gun,5.0e-05,0.0,89.78,70.54
gosper_glider_gun,1.0e-04,0.0,54.72,42.04